Rank,Player,Position,2015 team,2016 team,Rank change,Reference
1,Cam Newton,Quarterback,Carolina Panthers,,72,1
2,Tom Brady,Quarterback,New England Patriots,,1,2
3,J. J. Watt,Defensive end,Houston Texans,,2,3
4,Antonio Brown,Wide receiver,Pittsburgh Steelers,,4,4
5,Adrian Peterson,Running back,Minnesota Vikings,,57,5
6,Aaron Rodgers,Quarterback,Green Bay Packers,,4,6
7,Luke Kuechly,Linebacker,Carolina Panthers,,7,7
8,Julio Jones,Wide receiver,Atlanta Falcons,,5,8
9,Rob Gronkowski,Tight end,New England Patriots,,1,9
10,Odell Beckham Jr.,Wide receiver,New York Giants,,22,10
11,Josh Norman,Cornerback,Carolina Panthers,Washington Redskins,NR,11
12,Carson Palmer,Quarterback,Arizona Cardinals,,NR,12
13,Khalil Mack,Defensive end,Oakland Raiders,,36,13
14,Aaron Donald,Defensive tackle,St. Louis / Los Angeles Rams,,78,14
15,Von Miller,Linebacker,Denver Broncos,,18,15
16,A.J. Green,Wide receiver,Cincinnati Bengals,,21,16
17,Russell Wilson,Quarterback,Seattle Seahawks,,5,17
18,Patrick Peterson,Cornerback,Arizona Cardinals,,1,18
19,DeAndre Hopkins,Wide receiver,Houston Texans,,NR,19
20,Richard Sherman,Cornerback,Seattle Seahawks,,9,20
21,Ben Roethlisberger,Quarterback,Pittsburgh Steelers,,5,21
22,Todd Gurley,Running back,St. Louis / Los Angeles Rams,,NR,22
23,Joe Thomas,Offensive tackle,Cleveland Browns,,2,23
24,Darrelle Revis,Cornerback,New York Jets,,7,24
25,Brandon Marshall,Wide receiver,New York Jets,,32,25
26,Justin Houston,Linebacker,Kansas City Chiefs,,1,26
27,Larry Fitzgerald,Wide receiver,Arizona Cardinals,,41,27
28,Tyrann Mathieu,Safety,Arizona Cardinals,,NR,28
29,Geno Atkins,Defensive tackle,Cincinnati Bengals,,NR,29
30,Drew Brees,Quarterback,New Orleans Saints,,0,30
31,Allen Robinson,Wide receiver,Jacksonville Jaguars,,NR,31
32,Kam Chancellor,Safety,Seattle Seahawks,,9,32
