Rank,Player,Position,2010 Team,2011 Team,Reference,Year,2012 Team,Rank Change,2013 Team,2014 Team,2015 Team,2015 team,2016 team,Rank change,2017 team,Year accomplishments,2018 team,2019 team,2020 team
1,Tom Brady,Quarterback,New England Patriots,,1.0,2010.0,,,,,,,,,,,,,
2,Peyton Manning,Quarterback,Indianapolis Colts,,2.0,2010.0,,,,,,,,,,,,,
3,Adrian Peterson,Running back,Minnesota Vikings,,3.0,2010.0,,,,,,,,,,,,,
4,Ray Lewis,Linebacker,Baltimore Ravens,,4.0,2010.0,,,,,,,,,,,,,
5,Ed Reed,Safety,Baltimore Ravens,,5.0,2010.0,,,,,,,,,,,,,
6,Troy Polamalu,Safety,Pittsburgh Steelers,,6.0,2010.0,,,,,,,,,,,,,
7,Andre Johnson,Wide receiver,Houston Texans,,7.0,2010.0,,,,,,,,,,,,,
8,Darrelle Revis,Cornerback,New York Jets,,8.0,2010.0,,,,,,,,,,,,,
9,Drew Brees,Quarterback,New Orleans Saints,,9.0,2010.0,,,,,,,,,,,,,
10,Julius Peppers,Defensive end,Chicago Bears,,,2010.0,,,,,,,,,,,,,
11,Aaron Rodgers,Quarterback,Green Bay Packers,,11.0,2010.0,,,,,,,,,,,,,
12,DeMarcus Ware,Linebacker,Dallas Cowboys,,12.0,2010.0,,,,,,,,,,,,,
13,Chris Johnson,Running back,Tennessee Titans,,13.0,2010.0,,,,,,,,,,,,,
14,Larry Fitzgerald,Wide receiver,Arizona Cardinals,,14.0,2010.0,,,,,,,,,,,,,
15,Dwight Freeney,Defensive end,Indianapolis Colts,,,2010.0,,,,,,,,,,,,,
16,Charles Woodson,Cornerback,Green Bay Packers,,16.0,2010.0,,,,,,,,,,,,,
17,Haloti Ngata,Defensive tackle,Baltimore Ravens,,,2010.0,,,,,,,,,,,,,
18,Nnamdi Asomugha,Cornerback,Oakland Raiders,Philadelphia Eagles,18.0,2010.0,,,,,,,,,,,,,
19,Clay Matthews,Linebacker,Green Bay Packers,,19.0,2010.0,,,,,,,,,,,,,
20,Michael Vick,Quarterback,Philadelphia Eagles,,20.0,2010.0,,,,,,,,,,,,,
21,James Harrison,Linebacker,Pittsburgh Steelers,,21.0,2010.0,,,,,,,,,,,,,
22,Antonio Gates,Tight end,San Diego Chargers,,22.0,2010.0,,,,,,,,,,,,,
23,Patrick Willis,Linebacker,San Francisco 49ers,,23.0,2010.0,,,,,,,,,,,,,
24,Roddy White,Wide receiver,Atlanta Falcons,,24.0,2010.0,,,,,,,,,,,,,
25,Arian Foster,Running back,Houston Texans,,25.0,2010.0,,,,,,,,,,,,,
26,Philip Rivers,Quarterback,San Diego Chargers,,26.0,2010.0,,,,,,,,,,,,,
27,Calvin Johnson,Wide receiver,Detroit Lions,,27.0,2010.0,,,,,,,,,,,,,
28,Jake Long,Offensive tackle,Miami Dolphins,,,2010.0,,,,,,,,,,,,,
29,DeSean Jackson,Wide receiver,Philadelphia Eagles,,29.0,2010.0,,,,,,,,,,,,,
30,Maurice Jones-Drew,Running back,Jacksonville Jaguars,,30.0,2010.0,,,,,,,,,,,,,
31,Reggie Wayne,Wide receiver,Indianapolis Colts,,31.0,2010.0,,,,,,,,,,,,,
32,Devin Hester,Wide receiver,Chicago Bears,,,2010.0,,,,,,,,,,,,,
33,Jamaal Charles,Running back,Kansas City Chiefs,,33.0,2010.0,,,,,,,,,,,,,
34,Jahri Evans,Guard,New Orleans Saints,,,2010.0,,,,,,,,,,,,,
35,Vince Wilfork,Defensive tackle,New England Patriots,,35.0,2010.0,,,,,,,,,,,,,
36,Jason Witten,Tight end,Dallas Cowboys,,,2010.0,,,,,,,,,,,,,
37,Jonathan Vilma,Linebacker,New Orleans Saints,,37.0,2010.0,,,,,,,,,,,,,
38,Steven Jackson,Running back,St. Louis Rams,,38.0,2010.0,,,,,,,,,,,,,
39,Logan Mankins,Guard,New England Patriots,,39.0,2010.0,,,,,,,,,,,,,
40,Terrell Suggs,Linebacker,Baltimore Ravens,,40.0,2010.0,,,,,,,,,,,,,
41,Ben Roethlisberger,Quarterback,Pittsburgh Steelers,,,2010.0,,,,,,,,,,,,,
42,Michael Turner,Running back,Atlanta Falcons,,42.0,2010.0,,,,,,,,,,,,,
43,Joe Thomas,Offensive tackle,Cleveland Browns,,43.0,2010.0,,,,,,,,,,,,,
44,Robert Mathis,Defensive end,Indianapolis Colts,,44.0,2010.0,,,,,,,,,,,,,
45,Dwayne Bowe,Wide receiver,Kansas City Chiefs,,45.0,2010.0,,,,,,,,,,,,,
46,Tony Gonzalez,Tight end,Atlanta Falcons,,46.0,2010.0,,,,,,,,,,,,,
47,Nick Mangold,Center,New York Jets,,,2010.0,,,,,,,,,,,,,
48,Champ Bailey,Cornerback,Denver Broncos,,,2010.0,,,,,,,,,,,,,
49,Brian Urlacher,Linebacker,Chicago Bears,,49.0,2010.0,,,,,,,,,,,,,
50,Wes Welker,Wide receiver,New England Patriots,,50.0,2010.0,,,,,,,,,,,,,
51,Ndamukong Suh,Defensive tackle,Detroit Lions,,51.0,2010.0,,,,,,,,,,,,,
52,Matt Ryan,Quarterback,Atlanta Falcons,,52.0,2010.0,,,,,,,,,,,,,
53,Marques Colston,Wide receiver,New Orleans Saints,,53.0,2010.0,,,,,,,,,,,,,
54,Asante Samuel,Cornerback,Philadelphia Eagles,,54.0,2010.0,,,,,,,,,,,,,
55,Carl Nicks,Guard,New Orleans Saints,,,2010.0,,,,,,,,,,,,,
