Rank,Player,Position,2016 team,2017 team,Rank change,Reference,Year accomplishments
1,Tom Brady,Quarterback,New England Patriots,,1,1,"- 12th Pro Bowl selection
   - 2nd-Team AP All-Pro
   - Super Bowl LIMVP
   - Won 5th Super Bowl"
2,Von Miller,Linebacker,Denver Broncos,,13,2,"- 5th Pro Bowl selection
   - 1st-Team AP All-Pro"
3,Julio Jones,Wide receiver,Atlanta Falcons,,5,3,"- 4th Pro Bowl selection
   - 1st-Team AP All-Pro"
4,Antonio Brown,Wide receiver,Pittsburgh Steelers,,0,4,"- 5th Pro Bowl selection
   - 1st-Team AP All-Pro"
5,Khalil Mack,Defensive end,Oakland Raiders,,8,5,"- 2nd Pro Bowl selection
   - 1st-Team AP All-Pro
   - AP DPOY"
6,Aaron Rodgers,Quarterback,Green Bay Packers,,0,6,"- 6th Pro Bowl selection
   - Passing touchdowns leader"
7,Ezekiel Elliott,Running back,Dallas Cowboys,,NR,7,"- 4th overall pick in the 2016 NFL Draft
   - 1st Pro Bowl selection
   - 1st-Team AP All-Pro
   - Rushing yards leader
   - Highest ever ranking by a rookie"
8,Odell Beckham Jr.,Wide receiver,New York Giants,,2,8,"- 3rd Pro Bowl selection
   - 2nd-Team AP All-Pro"
9,Le'Veon Bell,Running back,Pittsburgh Steelers,,32,9,"- 2nd Pro Bowl selection
   - 2nd-Team AP All-Pro"
10,Matt Ryan,Quarterback,Atlanta Falcons,,NR,10,"- 4th Pro Bowl selection
   - 1st-Team AP All-Pro
   - Passer rating leader
   - AP OPOY
   - AP MVP
   - Led the Atlanta Falcons to the franchise's 2nd Super Bowl appearance"
11,Derek Carr,Quarterback,Oakland Raiders,,89,11,- 2nd Pro Bowl selection
12,David Johnson,Running back,Arizona Cardinals,,NR,12,"- 1st Pro Bowl selection
   - 1st-Team AP All-Pro (Flex)
   - 2nd-Team AP All-Pro (RB)"
13,Eric Berry,Safety,Kansas City Chiefs,,42,13,"- 5th Pro Bowl selection
   - 1st-Team AP All-Pro"
14,Dak Prescott,Quarterback,Dallas Cowboys,,NR,14,"- 135th overall pick in the 2016 NFL Draft
   - 1st Pro Bowl selection
   - AP OROY"
15,Aaron Donald,Defensive Tackle,Los Angeles Rams,,1,15,"- 3rd Pro Bowl selection
   - 1st-Team AP All-Pro"
16,Drew Brees,Quarterback,New Orleans Saints,,14,16,"- 10th Pro Bowl selection
   - Passing yards leader"
17,A.J. Green,Wide receiver,Cincinnati Bengals,,1,17,- 6th Pro Bowl selection
18,Tyron Smith,Offensive tackle,Dallas Cowboys,,24,18,"- 4th Pro Bowl selection
   - 1st-Team AP All-Pro"
19,Patrick Peterson,Cornerback,Arizona Cardinals,,1,19,- 6th Pro Bowl selection
20,Luke Kuechly,Linebacker,Carolina Panthers,,13,20,"- 4th Pro Bowl selection
   - 2nd-Team AP All-Pro"
21,Richard Sherman,Cornerback,Seattle Seahawks,,1,21,- 4th Pro Bowl selection
22,Ben Roethlisberger,Quarterback,Pittsburgh Steelers,,1,22,- 5th Pro Bowl selection
23,Rob Gronkowski,Tight end,New England Patriots,,14,23,- Super Bowl champion (2nd time)
24,Russell Wilson,Quarterback,Seattle Seahawks,,7,24,
25,Joe Thomas,Offensive tackle,Cleveland Browns,,2,25,"- 10th Pro Bowl selection
   - 1st-Team AP All-Pro"
26,Travis Kelce,Tight end,Kansas City Chiefs,,65,26,"- 2nd Pro Bowl selection
   - 1st-Team AP All-Pro"
27,LeSean McCoy,Running back,Buffalo Bills,,42,27,- 5th Pro Bowl selection
28,Landon Collins,Safety,New York Giants,,NR,28,"- 1st Pro Bowl selection
   - 1st-Team AP All-Pro"
29,Mike Evans,Wide receiver,Tampa Bay Buccaneers,,NR,29,"- 1st Pro Bowl selection
   - 2nd-Team AP All-Pro"
30,Earl Thomas,Safety,Seattle Seahawks,,36,30,
31,Matthew Stafford,Quarterback,Detroit Lions,,NR,31,
32,Marcus Peters,Cornerback,Kansas City Chiefs,,33,32,"- 2nd Pro Bowl selection
   - 1st-Team AP All-Pro"
33,DeMarco Murray,Running back,Tennessee Titans,,NR,33,- 3rd Pro Bowl selection
34,Kam Chancellor,Safety,Seattle Seahawks,,2,34,
35,J.J. Watt,Defensive end,Houston Texans,,32,35,
36,Tyreek Hill,Wide receiver,Kansas City Chiefs,,NR,36,"- 165th overall pick in the 2016 NFL Draft
   - 1st Pro Bowl selection
   - 1st-Team AP All-Pro"
37,Aqib Talib,Cornerback,Denver Broncos,,3,37,"- 4th Pro Bowl selection
   - 1st-Team AP All-Pro"
38,Fletcher Cox,Defensive tackle,Philadelphia Eagles,,11,38,- 2nd Pro Bowl selection
39,Bobby Wagner,Linebacker,Seattle Seahawks,,NR,39,"- 3rd Pro Bowl selection
   - 1st-Team AP All-Pro
   - Tackles leader"
40,Vic Beasley,Linebacker,Atlanta Falcons,,NR,40,"- 1st Pro Bowl selection
   - 1st-Team AP All-Pro
   - Sacks leader"
41,Devonta Freeman,Running back,Atlanta Falcons,,9,41,- 2nd Pro Bowl selection
42,Jarvis Landry,Wide receiver,Miami Dolphins,,56,42,- 2nd Pro Bowl selection
43,Marshal Yanda,Guard,Baltimore Ravens,,6,43,"- 6th Pro Bowl selection
   - 2nd-Team AP All-Pro"
44,Cam Newton,Quarterback,Carolina Panthers,,43,44,
45,Larry Fitzgerald,Wide receiver,Arizona Cardinals,,18,45,"- 10th Pro Bowl selection
   - Receptions leader
   - 2016 Walter Payton NFL Man of the Year Award"
46,Michael Bennett,Defensive end,Seattle Seahawks,,13,46,- 2nd Pro Bowl selection
47,Trent Williams,Offensive tackle,Washington Redskins,,2,47,"- 5th Pro Bowl selection
   - 1st-Team AP All-Pro"
48,Jordy Nelson,Wide receiver,Green Bay Packers,,NR,48,"- Receiving touchdowns leader
   - 2016 Comeback Player of the Year Award"
49,Jadeveon Clowney,Defensive end,Houston Texans,,NR,49,"- 1st Pro Bowl selection
   - 1st-Team AP All-Pro"
50,Marcus Mariota,Quarterback,Tennessee Titans,,NR,50,
51,Andrew Luck,Quarterback,Indianapolis Colts,,41,51,
52,Gerald McCoy,Defensive tackle,Tampa Bay Buccaneers,,11,52,"- 5th Pro Bowl selection
   - 2nd-Team AP All-Pro"
53,Amari Cooper,Wide receiver,Oakland Raiders,,NR,53,- 2nd Pro Bowl selection
